POL o Puerto de origen;NAVIERA FCL;POD o Puerto de destino;DIAS LIBRES;VIGENCIA DESDE ;VIGENCIA HASTA;AGENTE;CONTRATO;TIEMPO DE TRANSITO;MONEDA;20 GP;40 GP;40 HC;40 NOR
SHANGHAI;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;;;;1,200.00
SHANGHAI;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;18;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,300.00;1,600.00;1,600.00;
SHANGHAI;ORIENT OVERSEAS CONTAINER LINE;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;;;;1,200.00
SHANGHAI;ORIENT OVERSEAS CONTAINER LINE;GUAYAQUIL;18;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;1,200.00;1,400.00;1,400.00;
SHANGHAI;Pacific International Lines;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;;;;1,200.00
SHANGHAI;Pacific International Lines;GUAYAQUIL;18;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,200.00;1,400.00;1,400.00;
SHANGHAI;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;;;;1,300.00
SHANGHAI;ZIM INTEGRATED SHIPPING SERVICES;GUAYAQUIL;21;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,400.00;1,600.00;1,600.00;
SHEKOU;CMA-CGM;POSORJA;21;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,500.00;1,600.00;1,600.00;
SHEKOU;COSCO SHIPPING LINES CO. LTD.;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;;;;1,200.00
SHEKOU;COSCO SHIPPING LINES CO. LTD.;GUAYAQUIL;17;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;1,400.00;1,600.00;1,600.00;
SHEKOU;COSCO SHIPPING LINES CO. LTD.;POSORJA;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;;;;1,200.00
SHEKOU;COSCO SHIPPING LINES CO. LTD.;POSORJA;17;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;30-39;DOLAR;1,400.00;1,600.00;1,600.00;
SHEKOU;HYUNDAI MERCHANT MARINE;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;;;;1,200.00
SHEKOU;HYUNDAI MERCHANT MARINE;GUAYAQUIL;18;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,300.00;1,400.00;1,400.00;
SHEKOU;Maersk A/S trading as Sealand Americas.;POSORJA;14;16/12/2025;22/12/2025;AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ;2653381;35-42;DOLAR;;;;1,179.00
SHEKOU;Maersk A/S trading as Sealand Americas.;POSORJA;14;16/12/2025;22/12/2025;ZHEJIANG Q&R SUPPLY CHAIN MANAGEMENT CO LTD                                                         ;QTRANS;30-32;DOLAR;;;;1,250.00
SHEKOU;MEDITERRANEAN SHIPPING COMPANY;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;1,500.00;1,800.00;1,800.00;
SHEKOU;OCEAN NETWORK EXPRESS PTE. LTD.;GUAYAQUIL;14;15/12/2025;22/12/2025;HYDE (GUANGZHOU) INTERNATIONAL LOGISTICS GROUP CO.,LTD                                              ;HYDE;35-40;DOLAR;;;;1,200.00
