ORIGEN;NAVIERA LCL;DESTINO;VIGENCIA DESDE ;VIGENCIA HASTA;TIEMPO DE TRANSITO;MONEDA;FLETE MARITIMO LCL
KOBE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;65-65;DOLAR;30.00
KOPER;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;35-35;EUROS;125.00
LE HAVRE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;105.00
LE HAVRE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;105.00
LE HAVRE;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;33-33;EUROS;58.00
LEIXOES;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;39-39;EUROS;85.00
LEIXOES;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;95.00
LEIXOES;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;95.00
LISBOA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;39-39;EUROS;120.00
LISBOA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;39-39;EUROS;120.00
LISBOA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;39-39;EUROS;120.00
LISBOA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;39-39;EUROS;85.00
LISBOA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;95.00
LISBOA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;95.00
LISBOA;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;32-32;EUROS;56.00
LONDON;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;70.00
LONDON;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;70.00
LONDON;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;34-34;EUROS;55.00
LOS ANGELES;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;24-24;DOLAR;170.00
LOS ANGELES;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8-8;DOLAR;100.00
LOS ANGELES;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8-8;DOLAR;100.00
LOS ANGELES;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8-8;DOLAR;100.00
LUDHIANA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;81-81;DOLAR;63.00
LYON;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;36-36;EUROS;105.00
LYON;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;36-36;EUROS;105.00
LYON;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;34-34;EUROS;68.00
MANILA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;59-59;DOLAR;23.00
MANILA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;45-45;DOLAR;170.00
MANILA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;40.00
MANZANILLO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;13;DOLAR;12.00
MANZANILLO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;13;DOLAR;12.00
MANZANILLO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;13;DOLAR;12.00
MANZANILLO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;13-13;DOLAR;12.00
MANZANILLO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;14;DOLAR;12.00
MANZANILLO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;14;DOLAR;12.00
MANZANILLO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;13-13;DOLAR;15.00
MARSELLA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;36-36;EUROS;105.00
MARSELLA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;36-36;EUROS;105.00
MELBOURNE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;60-60;DOLAR;65.00
MELBOURNE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;60-60;DOLAR;65.00
MEMPHIS;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;16-16;DOLAR;223.00
MERSIN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;01/12/2025;31/12/2025;55-55;DOLAR;70.00
MIAMI;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;8;DOLAR;65.00
MIAMI;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;8;DOLAR;65.00
MIAMI;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;8;DOLAR;65.00
MIAMI;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;8-8;DOLAR;70.00
MIAMI;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8-8;DOLAR;70.00
MIAMI;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8-8;DOLAR;70.00
MIAMI;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;8-8;DOLAR;70.00
MILAN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;55.00
MILAN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;55.00
MINNEAPOLIS;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;22-22;DOLAR;226.00
MOJI;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;51-51;DOLAR;33.00
MONTEVIDEO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;480.00
MONTEVIDEO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;50-50;DOLAR;480.00
