ORIGEN;NAVIERA LCL;DESTINO;VIGENCIA DESDE ;VIGENCIA HASTA;TIEMPO DE TRANSITO;MONEDA;FLETE MARITIMO LCL
SHANGHAI;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;35;DOLAR;8.00
SHANGHAI;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;32-32;DOLAR;6.00
SHANGHAI;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40;DOLAR;6.00
SHANGHAI;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;31;DOLAR;8.00
SHANGHAI;MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.;GUAYAQUIL;15/12/2025;31/12/2025;30;DOLAR;7.00
SHANTOU;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;43.00
SHANTOU;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;42-42;DOLAR;90.00
SHANTOU;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;26.00
SHENZHEN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;37;DOLAR;8.00
SHENZHEN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;36-36;DOLAR;6.00
SHENZHEN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;40-40;DOLAR;6.00
SHENZHEN;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;37;DOLAR;8.00
SHENZHEN;MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.;GUAYAQUIL;15/12/2025;31/12/2025;32-36;DOLAR;7.00
SHUNDE;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;23.00
SHUNDE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;30.00
SHUNDE;INCA LINES DEL ECUADOR INCALINES S.A.;GUAYAQUIL;15/12/2025;31/12/2025;40-40;DOLAR;23.00
SINGAPORE;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;53-53;DOLAR;38.00
SINGAPORE;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;52-52;DOLAR;135.00
SINGAPORE;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;55-55;DOLAR;30.00
SURABAYA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;53-53;DOLAR;53.00
SURABAYA;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;60-60;DOLAR;135.00
SURABAYA;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;55-55;DOLAR;40.00
SYDNEY;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;60-60;DOLAR;65.00
SYDNEY;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;60-60;DOLAR;65.00
TAICHUNG;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;60-60;DOLAR;48.00
TAICHUNG;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;50-50;DOLAR;55.00
TALLIN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;165.00
TALLIN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;EUROS;165.00
TALLIN;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;41-41;EUROS;120.00
TIANJIN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;52-52;DOLAR;13.00
TIANJIN;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;45-45;DOLAR;10.00
TIANJIN;MARITIME SERVICES LINE DEL ECUADOR MSL DEL ECUADOR S.A.;GUAYAQUIL;15/12/2025;31/12/2025;45;DOLAR;7.00
TOKYO;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;51-51;DOLAR;23.00
TOKYO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;43-43;DOLAR;130.00
TOKYO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;65-65;DOLAR;30.00
TORONTO;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;28-28;DOLAR;260.00
TORONTO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;25-25;DOLAR;130.00
TORONTO;ECU - WORLDWIDE - (ECUADOR) S.A.;GUAYAQUIL;01/12/2025;31/12/2025;25-25;DOLAR;130.00
TORONTO;SACO SHIPPING S.A.;GUAYAQUIL;01/12/2025;31/12/2025;18-18;DOLAR;145.00
TUTICORIN;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;70-70;DOLAR;78.00
TUTICORIN;CRAFT ECUADOR MULTIMODAL CRAFTECMUL S.A.;GUAYAQUIL;08/12/2025;31/12/2025;70-70;DOLAR;170.00
VALENCIA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;45.00
VALENCIA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;45.00
VALENCIA;CHARTER LINK LOGISTICS ECUADOR S.A.S.;GUAYAQUIL;01/12/2025;31/12/2025;30-30;EUROS;45.00
